Recette,Type,Ingrédients,Lien
Soupe à l'oignon,Entrée,"Oignon, Fromage, Pain",https://www.marmiton.org/recettes/recherche.aspx?aqt=soupe+a+l+oignon
Quiche lorraine,Entrée,"Lardons, Œufs, Crème, Pâte brisée",https://www.marmiton.org/recettes/recherche.aspx?aqt=quiche+lorraine
Salade de chèvre chaud,Entrée,"Fromage de chèvre, Salade, Pain, Miel",https://www.marmiton.org/recettes/recherche.aspx?aqt=salade+de+chevre+chaud
Œufs mimosa,Entrée,"Œufs, Mayonnaise",https://www.marmiton.org/recettes/recherche.aspx?aqt=oeufs+mimosa
Velouté de potiron,Entrée,"Potiron, Crème, Oignon",https://www.marmiton.org/recettes/recherche.aspx?aqt=veloute+de+potiron
Salade niçoise,Entrée,"Thon, Œufs, Tomates, Olives, Haricots verts",https://www.marmiton.org/recettes/recherche.aspx?aqt=salade+nicoise
Tarte à la tomate,Entrée,"Tomates, Moutarde, Pâte feuilletée, Fromage",https://www.marmiton.org/recettes/recherche.aspx?aqt=tarte+a+la+tomate
Terrine de campagne,Entrée,"Porc, Foie de volaille, Échalote",https://www.marmiton.org/recettes/recherche.aspx?aqt=terrine+de+campagne
Soupe de poisson,Entrée,"Poisson, Tomates, Ail, Croûtons",https://www.marmiton.org/recettes/recherche.aspx?aqt=soupe+de+poisson
Gaspacho,Entrée,"Tomates, Concombre, Poivron, Ail",https://www.marmiton.org/recettes/recherche.aspx?aqt=gaspacho
Salade de lentilles,Entrée,"Lentilles, Échalote, Moutarde",https://www.marmiton.org/recettes/recherche.aspx?aqt=salade+de+lentilles
Croque-monsieur,Entrée,"Pain de mie, Jambon, Fromage, Beurre",https://www.marmiton.org/recettes/recherche.aspx?aqt=croque+monsieur
Flammekueche,Entrée,"Pâte, Crème, Oignon, Lardons",https://www.marmiton.org/recettes/recherche.aspx?aqt=flammekueche
Gougères,Entrée,"Œufs, Fromage, Beurre, Farine",https://www.marmiton.org/recettes/recherche.aspx?aqt=gougeres
Betteraves vinaigrette,Entrée,"Betterave, Échalote, Vinaigre",https://www.marmiton.org/recettes/recherche.aspx?aqt=betteraves+vinaigrette
Asperges sauce mousseline,Entrée,"Asperges, Œufs, Beurre, Citron",https://www.marmiton.org/recettes/recherche.aspx?aqt=asperges+sauce+mousseline
